country,sum_minmax,mean_minmax,attack_objective,broadband_speed,computer_infection,cyber_firm,cybermil_people,ecommerce,ecommerce_capita,freedom_net,freedom_press,human_capital,infocomm_imp,int_agreement,internet_use,laws,mobile_infection,mobile_speed,news_alexa,patent_app_capita,patent_application,removal_google,shodan,socials_use,surveillance_firm,tech_export,tech_firm,web_alexa
Australia,11.2879033345961,0.434150128253696,0.2,0.177908937605396,0.611111111111111,0,0.00789667402797296,0.00188800562308179,0.041841922272902,0.688888888888889,0.88135593220339,0.817164179104478,0.933987511150758,0.708333333333333,0.85483870967742,0.5,0.941176470588235,0.75556858147714,0,0.0333131972990989,0.00196083917890128,0.995430277802914,0.976833713760093,0.790322580645161,0.0381679389312977,0.307692307692308,0.0222222222222222,0
Brazil,7.89466172148724,0.303640835441817,0,0.230923271500843,0,0,0,0.0153047267034483,0.0297573678522225,0.6,0.508474576271187,0.475,0.892774308652989,0.166666666666667,0.532258064516129,0.5,0.882352941176471,0.197420867526378,0,0.00535335566663154,0.00355576983923702,0.955071939191023,0.960163072485493,0.693548387096774,0.0152671755725191,0.230769230769231,0,0
Canada,12.0022314074491,0.46162428490189,0.2,0.592432546374368,0.666666666666667,0.043859649122807,0.000869972562403801,0.0272997026715629,0.484871526532916,0.855555555555556,0.88135593220339,0.832089552238806,0.895896520963426,0.166666666666667,0.919354838709678,0.5,0.96078431372549,0.884525205158265,0,0.0351952886099831,0.00310304773097258,0.989865170572799,0.891447779329768,0.709677419354839,0.099236641221374,0.288461538461538,0.0444444444444444,0.0285714285714286
China,14.2632993600033,0.570531974400131,1,0.544266441821248,0.666666666666667,0,0.668741216623168,1,0.453968855096389,0,,0.485074626865672,0.376449598572703,0.291666666666667,0.32258064516129,1,0.941176470588235,0.887104337631888,1,0.308659136444489,1,0.984616776762284,0.807674400118103,0.774193548387097,0.106870229007634,0.576923076923077,0.0666666666666667,0
Egypt,5.70651181515901,0.219481223659962,0,0.111193086003373,0.111111111111111,0,0.000535367730710031,0.00538146499651553,0.019169443259912,0.177777777777778,0.372881355932203,0.33544776119403,0.918554861730598,0.0625,0.209677419354839,0.5,0.666666666666667,0.083704572098476,0,0.00108697505657777,0.000698096056008397,1,0.794001748827491,0.290322580645161,0.0458015267175573,0,0,0
Estonia,10.8565776676525,0.417560679525095,0,0.284253794266442,0.5,0,0.334136384929398,0,0.177331312093501,0.933333333333333,0.610169491525424,0.975,0.994558429973238,0.416666666666667,0.887096774193549,0.25,1,0.468112543962486,0,0.00363447524556927,0,0.999502307483486,0.973154362416107,0.741935483870968,0,0.307692307692308,0,0
France,11.5603600847144,0.444629234027477,0,0.67506323777403,0.388888888888889,0,0.173526065716389,0.0466230558334482,0.446984057598066,0.733333333333333,0.779661016949153,0.843283582089552,0.503389830508475,0.479166666666667,0.741935483870968,1,0.96078431372549,0.461664712778429,0,0.0647419568031806,0.010244721052152,0.947651796217537,0.819382459487389,0.564516129032258,0.343511450381679,0.480769230769231,0.0666666666666667,0.0285714285714286
Germany,11.7586198668711,0.452254610264273,0,0.452150084317032,0.722222222222222,0.0087719298245614,0.936425081978184,0.0816375228886985,0.647225274307431,0.777777777777778,0.864406779661017,0.858208955223881,0.0898305084745764,0.291666666666667,0.806451612903226,0.75,0.96078431372549,0.381242672919109,0,0.176297669591902,0.0334289717755388,0.97615600398154,0.890879978196436,0.370967741935484,0.320610687022901,0.288461538461538,0.0444444444444444,0.0285714285714286
India,7.36706394107817,0.283348613118391,0.2,0.138279932546374,0.555555555555556,0,0.125811416716857,0.0403929368022317,0,0.5,0.64406779661017,0.436567164179105,0.831311329170384,0.645833333333333,0,0.25,0.470588235294118,0,0.0952380952380952,0.0016977392550072,0.0116696118715073,0.900416251922903,0.957403558977504,0,0.0687022900763359,0.153846153846154,0.111111111111111,0.228571428571429
Iran,6.33926555312159,0.243817905889292,0.8,0,0.833333333333333,0,0.00120457739409757,0.00288043163542621,0.00655658808852546,0.0555555555555556,0.152542372881356,0.0186567164179105,0.996253345227476,0.166666666666667,0.483870967741936,0.25,0,0.176436107854631,0,0.0439861213718616,0.00852638595026084,1,0.80240520560079,0.435483870967742,0.0763358778625954,0,0,0.0285714285714286
Israel,10.3489820355209,0.431207584813371,0.4,0.384169477234401,,0.157894736842105,0.334136384929398,0.00959677950770079,0.781474769112958,0.733333333333333,0.796610169491525,0.966417910447761,0.953166815343443,0.270833333333333,0.774193548387097,0.5,,0.126611957796014,0,0.0547529028733474,0.00106328710689049,0.984978734956113,0.77239123769291,0.725806451612903,0.198473282442748,0.423076923076923,0,0
Italy,7.7887476731483,0.299567218198012,0,0.240935919055649,0.222222222222222,0,0.00153918222579134,0.0177698170701268,0.184071812723485,0.722222222222222,0.576271186440678,0.754850746268657,0.754415700267618,0.166666666666667,0.645161290322581,0,0.490196078431373,0.282883939038687,0,0.0451078547426687,0.00638330997976024,0.98411908424577,0.841265515165968,0.580645161290323,0.137404580152672,0.134615384615385,0,0
