country,sum_norm,mean_norm,attack_objective,broadband_speed,computer_infection,cyber_firm,cybermil_people,ecommerce,ecommerce_capita,freedom_net,freedom_press,human_capital,infocomm_imp,int_agreement,internet_use,laws,mobile_infection,mobile_speed,news_alexa,patent_app_capita,patent_application,removal_google,shodan,socials_use,surveillance_firm,tech_export,tech_firm,web_alexa
Australia,1366.298893,52.54995742,49.00678222,30.8457306,53.44929151,45.17685491,38.42719282,42.90164416,31.51167847,56.12540421,69.47127945,61.37630345,61.6247352,84.75433348,61.24063359,54.37594974,56.70579237,74.25026168,43.72212131,43.01049887,44.16011541,55.16509451,63.87058459,65.14258821,41.44555354,48.41936442,45.45690082,44.66220337
Brazil,1111.351131,42.74427426,35.10173337,35.30700382,10.76430911,45.17685491,37.87483539,44.25282,30.75085466,50.18561831,45.51951204,40.03191416,58.49942191,35.33801556,36.45813434,54.37594974,51.48301177,33.0623873,43.72212131,40.44994813,44.3261866,50.85780234,62.06560115,55.75530105,39.47685902,42.70868105,43.14405033,44.66220337
Canada,1407.378164,54.12992939,49.00678222,65.72880727,57.32974445,49.80178856,37.93568833,45.46081423,59.40409909,67.26250279,69.47127945,62.30735642,58.73618806,35.33801556,66.19713344,54.37594974,58.44671924,83.76646875,43.72212131,43.18286002,44.27904719,54.57115176,54.62557745,57.31984891,46.69540562,46.99169358,47.76975131,47.65136948
China,1633.791131,65.35164524,104.6269776,61.67552326,57.32974445,45.17685491,84.65202074,143.4198557,57.45851735,10.09206345,,40.66037492,19.34506398,46.74178124,20.34950983,89.3835477,56.70579237,83.95679289,122.2623909,68.22656617,148.0803372,54.01101062,45.5551668,63.57804035,47.35163712,68.40675623,50.0826018,44.66220337
Egypt,934.4016222,35.93852393,35.10173337,25.23144442,18.525215,45.17685491,37.91228335,43.25346469,30.08425621,21.97163526,36.80977844,31.32656891,60.4544339,25.8348775,11.6756351,54.37594974,32.33281625,24.67082289,43.72212131,40.05923476,44.02863305,55.6528036,44.07478529,16.64160458,42.10178505,25.57663093,43.14405033,44.66220337
Estonia,1327.298474,51.04994129,35.10173337,39.79488503,45.68838562,45.17685491,61.24704458,42.71150623,40.04186926,72.45981545,52.05181224,71.22218859,66.21799868,58.14554691,63.71888351,36.87215077,61.92857297,53.03777103,43.72212131,40.29253377,43.95594422,55.59968677,63.4722095,60.44894463,38.164396,48.41936442,43.14405033,44.66220337
France,1377.60267,52.98471808,35.10173337,72.68236235,37.92747973,45.17685491,50.01265602,47.40683723,57.0187659,59.09529717,62.93897924,63.00564615,28.97129953,63.84742975,52.56675885,89.3835477,58.44671924,52.56196068,43.72212131,45.88873168,45.02266958,50.06587867,46.82283569,43.23891818,67.6948139,61.26840201,50.0826018,47.65136948
Germany,1381.02461,53.11633115,35.10173337,53.92372844,61.2101974,46.10184164,103.3760017,50.93308641,69.625626,62.06519012,68.38256275,63.93669911,-2.390069398,46.74178124,57.5232587,71.87974872,58.44671924,46.62730791,43.72212131,56.10495774,47.43671562,53.10802448,54.56409981,24.46434387,65.72611938,46.99169358,47.76975131,47.65136948
India,1063.821738,40.91622069,49.00678222,27.51086235,49.56883856,45.17685491,46.67510642,46.77941223,28.87737936,43.50335917,54.22924564,37.63445277,53.83851095,79.05245065,-4.432989413,36.87215077,14.92354758,18.4939394,51.20214698,40.11516829,45.17103548,45.02460846,61.76681984,-11.52025689,44.07047958,36.99799768,54.70830278,68.57553228
Iran,979.9860475,37.69177106,90.72192879,15.87430079,68.97110329,45.17685491,37.9590933,43.00158975,29.29017144,13.80442964,22.65646134,11.56496967,66.34652888,35.33801556,32.74075945,36.87215077,-26.8586972,31.51384088,43.72212131,43.98792085,44.84374899,55.6528036,44.98465433,30.72253531,44.72671109,25.57663093,43.14405033,47.65136948
