country,cap_surveillance,cap_defense,cap_manipulation,cap_intelligence,cap_commercial,cap_disruption,cap_cybernorms,score_capabilities,capint_surveillance,capint_defense,capint_manipulation,capint_intelligence,capint_commercial,capint_disruption,capint_norms,score_capint,intent_norms,intent_surveillance,intent_defence,intent_control,intent_intelligence,intent_commercial,intent_offesive
Australia,51.89482305,52.15180017,50.12765818,48.30785829,48.65177375,47.28084509,54.6050944,50.43140756,50.85692659,51.10876417,48.45840716,28.98471498,47.43547941,45.70639295,53.69318932,46.6062678,98.33,98,98,96.67,60,97.5,96.67
Brazil,48.37586135,48.33859659,47.63083107,45.57176541,46.65885482,49.8611214,48.47122015,47.84403583,24.18793067,32.02432024,20.4145742,15.18906941,34.06096402,16.61871176,35.38399071,25.41136586,73,50,66.25,42.86,33.33,73,33.33
Canada,53.02182376,53.91143213,50.19463007,48.86227474,50.60529599,48.28148622,49.39870907,50.61080743,49.04518698,51.21586053,25.09731504,29.31736485,46.80989879,28.96889173,46.92877362,39.6261845,95,92.5,95,50,60,92.5,60
China,56.94242712,53.94693369,57.6879881,60.68108543,55.34107239,55.74131413,52.52752838,56.12404989,54.66473004,52.1505008,54.8035887,57.64703116,53.49821468,33.44478848,50.42642724,50.9478973,96,96,96.67,95,95,96.67,60
Egypt,40.92462272,46.95034003,41.88321329,43.63028327,45.26434546,40.33100139,45.97113522,43.56499163,13.64017675,32.27835877,8.376642658,14.54197341,15.08660634,13.44232276,27.58268113,17.84982312,60,33.33,68.75,20,33.33,33.33,33.33
Estonia,51.30993066,51.21405521,49.90722759,50.49749445,49.64941747,50.785439,50.36819901,50.53310906,50.79683135,50.70191465,16.63407896,25.24874723,24.82470873,50.15062101,49.95014296,38.32957784,99.17,99,99,33.33,50,50,98.75
France,54.7505498,52.29305656,48.25858291,53.0345884,49.66899926,54.80258483,54.50722583,52.47365537,27.3752749,50.98573015,46.44888605,49.05699427,16.55467745,52.7474879,53.14454518,42.3305137,97.5,50,97.5,96.25,92.5,33.33,96.25
Germany,52.20545384,50.13164801,46.85059971,56.04614835,48.37322357,56.73908029,46.16672177,50.93041079,50.11723569,48.12638209,44.50806972,18.68018125,29.02393414,53.90212627,44.62936993,41.28389987,96.67,96,96,95,33.33,60,95
India,37.69597585,48.04093865,41.74411955,47.07861155,47.82396447,45.40316088,51.25834207,45.57787329,33.17245875,38.43275092,4.637771682,23.53930578,42.08508873,22.70158044,34.17393666,28.39184185,66.67,88,80,11.11,50,88,50
Iran,41.93873856,41.89021825,47.26293274,44.16131771,45.92614287,50.45686589,45.75830411,45.3420743,20.96936928,25.13413095,25.02099659,22.08065885,30.61895945,30.27411953,22.87915206,25.28248382,50,50,60,52.94,50,66.67,60
