country,laws,web_alexa,news_alexa,removal_google,freedom_net,freedom_press,infocomm_imp,patent_application,patent_app_capita,broadband_speed,mobile_speed,ecommerce,ecommerce_capita,int_agreement,state_attack,attack_objective,attack_surveillance,attack_control,attack_intelligence,attack_commercial,attack_offense,tech_firm,tech_export,human_capital,cybermil_people,cyber_firm,computer_infection,mobile_infection,socials_use,internet_use,surveillance_firm,shodan,military_strategy,cyber_command,CERTS,ITU,muli_agreement,bilat_agreement,softpower,intent_surveillance,intent_defense,intent_control,intent_intelligence,intent_commercial,intent_offense,intent_norms,GDP_expentiture,GDP_output,pop,GDPexp_capita,score_surveillance,score_defense,score_control,score_intelligence,score_commercial,score_offense,score_norms,score_capabilities,score_intent,capint_surveillance,capint_defense,capint_control,capint_intelligence,capint_commercial,capint_offense,capint_norms,score_capint
Australia,2,0,0,101,72,0.87,0.827,2757,112.758146570877,2.2,7.66,2279,93.2084933025128,35,1,1,0,0,1,0,0,1,17,68.9,125,0,0.11,0.05,0.72,0.87,6,10.099,3,0,4,0.89,6,28,48.8,0.49,0.82,0.42,0.75,0.43,0.33,0.72,1177097.5,1158776.25,24.4505615234375,48141.9413976106,47.87,59.536,27.496,19.891,15.15,21.321,36.655,32.56,0.566,23.456,48.82,11.548,14.918,6.514,7.036,26.392,19.812
Brazil,2,0,0,993,64,0.65,1.289,4980,23.7949296426918,2.703,2.899,15717,75.0973713241339,9,0,0,0,0,0,0,0,0,13,59.73,7,0,0.22,0.08,0.66,0.67,3,11.567,2,4,4,0.577,1,10,39.4,0.08,0.78,0.18,0.08,0.2,0,0.49,2952830.75,2890897.5,209.288284301758,14108.9156512102,39.018,48.077,21.179,11.926,9.187,34.625,24.554,26.938,0.259,3.121,37.5,3.812,0.954,1.837,0,12.031,8.465
Canada,2,1,0,224,87,0.87,1.254,4349,118.746624609122,6.133,8.76,27731,757.176971035998,9,0,1,0,0,1,0,0,2,16,69.3,20,5,0.1,0.04,0.67,0.91,14,17.618,3,3,4,0.892,5,8,54.5,0.48,0.95,0.36,0.75,0.3,0.25,0.74,1629507.5,1571421.125,36.6241989135742,44492.6455277646,51.397,64.754,27.796,21.087,21.838,35.796,32.901,36.51,0.547,24.671,61.516,10.007,15.815,6.551,8.949,24.347,21.694
China,4,0,21,340,10,,7.077,1393815,988.859693800005,5.676,8.782,1001974,710.863136668472,15,19,5,19,4,99,33,1,3,31,60,10000,0,0.1,0.05,0.71,0.54,15,24.995,3,4,4,0.828,4,18,58.7,0.9,0.97,0.91,0.73,0.86,0.5,0.75,18396068,18383838,1409.51745605469,13051.3232886747,53.394,70.366,44.726,48.306,36.065,61.166,48.815,51.834,0.803,48.055,68.255,40.701,35.263,31.016,30.583,36.611,41.498
Egypt,2,0,0,0,26,0.57,1,997,10.2200693591602,1.567,1.929,5778,59.2292485027357,4,1,0,0,0,0,0,0,0,1,55.99,15,0,0.2,0.19,0.41,0.47,7,26.199,0,0,4,0.842,1,3,34.8,0.17,0.46,0.04,0,0.04,0,0.43,995959.6875,1092824.125,97.5531539916992,10209.4053010807,20.393,44.771,8.333,6.301,4.394,0.02,18.03,14.606,0.163,3.467,20.595,0.333,0,0.176,0,7.753,4.618
Estonia,1,0,0,11,94,0.71,0.148,24,18.3257594741812,3.209,5.208,388,296.266444832595,21,0,0,0,0,0,0,0,0,17,73.13,5000,0,0.13,0.02,0.69,0.89,1,10.423,3,2,4,0.905,20,24,31.7,0.5,0.83,0.14,0.08,0.13,0.33,0.69,40616.2421875,33971.1015625,1.3096319437027,31013.4785447173,46.873,56.012,27.159,26.749,18.143,37.843,38.66,35.92,0.386,23.436,46.49,3.802,2.14,2.359,12.488,26.675,16.77
France,4,1,0,1157,76,0.81,5.654,14303,212.758839933124,6.917,5.153,47085,700.395020502771,24,0,0,0,0,0,0,0,3,26,69.6,2600,0,0.15,0.04,0.58,0.8,46,23.964,4,3,4,0.918,8,30,58.5,0.25,0.98,0.42,0.4,0.26,0.32,0.82,2754603.25,2652826.25,67.2263488769531,40975.0536213391,56.388,64.577,23.123,31.626,24.006,48.094,53.128,42.992,0.493,14.097,63.285,9.712,12.65,6.242,15.39,43.565,23.563
Germany,3,1,0,527,80,0.86,10.29,46617,567.709172158074,4.802,4.467,82155,1000.49653642762,15,0,0,0,0,0,0,0,2,16,70,14000,1,0.09,0.04,0.46,0.84,43,17.668,4,3,4,0.849,12,10,61.9,0.48,0.8,0.49,0.25,0.26,0.32,0.83,4035178.5,3905024,82.1142272949219,49141.0396581732,50.43,62.348,20.497,40.624,25.515,59.498,45.178,43.441,0.49,24.206,49.878,10.044,10.156,6.634,19.039,37.498,22.494
India,1,8,2,2201,55,0.73,1.978,16289,12.1634118355264,1.824,1.215,40845,30.5000034638146,32,0,1,0,0,1,0,0,5,9,58.7,1887,0,0.12,0.29,0.23,0.34,10,11.81,0,2,4,0.719,5,78,41.6,0.37,0.57,0.02,0.5,0.37,0,0.6,8412113,8599774,1339.18017578125,6281.53937172237,13.645,48.474,7.057,15.018,11.579,15.601,39.749,21.589,0.347,5.049,27.63,0.141,7.509,4.284,0,23.849,9.78
Iran,1,1,0,0,15,0.44,0.129,11908,146.717482679585,0.512,2.72,3273,40.3263621775514,9,14,4,0,2,25,6,9,0,1,47.5,25,0,0.07,0.53,0.5,0.64,11,25.459,0,4,3,0.641,3,9,31.5,0.08,0.5,0.66,0.67,0.74,0.58,0.35,1297464.25,1295735,81.1627883911133,15985.9496663383,21.687,31.134,20.561,5.816,3.492,31.283,16.026,18.571,0.511,1.735,15.567,13.57,3.897,2.584,18.144,5.609,8.729
Israel,2,0,0,332,76,0.82,0.612,1506,180.975456345029,4.157,2.295,10000,1201.69625727111,14,0,2,0,0,2,0,4,0,23,72.9,5000,18,0.24,0.24,0.68,0.82,27,28.102,0,0,4,0.783,8,13,42.6,0.17,0.63,0.7,0.9,0.36,0.81,0.6,322245.28125,301121.9375,8.32157039642334,38724.0948401401,48.863,46.898,25.25,32.175,29.644,20.151,35.045,34.004,0.596,8.307,29.546,17.675,28.957,10.672,16.322,21.027,18.929
Italy,0,0,0,351,75,0.69,2.84,8921,150.28663770251,2.798,3.628,18186,306.368433276297,9,0,0,0,0,0,0,0,0,8,67.23,30,0,0.18,0.28,0.59,0.74,19,22.037,3,3,2,0.837,3,11,49.3,0.25,0.62,0.21,0.23,0.31,0,0.55,2342988.25,2255658.5,59.3599014282227,39470.8918584226,34.757,32.555,20.695,16.99,13.865,32.732,18.963,24.365,0.31,8.689,20.184,4.346,3.908,4.298,0,10.43,7.408
Japan,4,0,2,79,73,0.6,4.383,253630,1989.49752244842,5.098,4.278,99130,777.585023066323,16,0,0,0,0,0,0,0,13,17,62.6,150,1,0.09,0.02,0.61,0.85,4,11.899,0,4,4,0.88,5,30,60.2,0.25,0.95,0.39,0.25,0.47,0.14,0.82,5107477,5147025.5,127.484451293945,40063.5289100748,52.64,63.098,25.572,20.072,28.772,26.355,51.87,38.34,0.467,13.16,59.943,9.973,5.018,13.523,3.69,42.533,21.12
Lithuania,1,0,0,6,91,0.68,0.097,25,8.64963031594063,5.283,5.435,767,265.370658093058,19,0,0,0,0,0,0,0,0,12,70.81,300,0,0.13,0.02,0.6,0.8,3,11.854,2,0,4,0.908,7,13,0,0.21,0.61,0.07,0.04,0.16,0,0.35,89414.0703125,75125.015625,2.89029693603516,30935.9461298659,41.733,58.898,22.316,18.736,15.577,14.632,15.938,26.833,0.206,8.764,35.928,1.562,0.749,2.492,0,5.578,7.868
Malaysia,2,0,0,18,57,0.72,0.908,1116,35.2893590930206,4.048,2.298,4337,137.141532604328,19,0,0,0,0,0,0,0,0,53,68.29,300,0,0.22,0.15,0.78,0.81,5,22.38,0,1,4,0.893,5,20,37.4,0.3,0.78,0.05,0,0.33,0,0.56,822249.75,720269.25,31.6242637634277,26000.5973941724,44.965,47.085,27.433,30.584,23.307,25.401,42.404,34.454,0.289,13.49,36.726,1.372,0,7.691,0,23.746,11.861
Netherlands,1,0,0,43,99,0.93,4.999,2111,123.914513390339,5.712,8.633,15948,936.138635504087,14,0,1,0,0,1,0,0,2,23,73.07,260,0,0.08,0.04,0.64,0.95,6,10.172,3,4,4,0.885,10,7,48.9,0.49,0.98,0.29,0.9,0.45,0.4,0.75,852206.6875,793901.3125,17.0359382629395,50024.0535241853,48.704,63.812,27.452,24.896,25.865,43.809,33.535,38.296,0.609,23.865,62.536,7.961,22.406,11.639,17.524,25.151,24.44
New Zealand,1,0,0,12,97,0.89,0.204,1017,216.115447283646,5.613,6.416,3416,725.90989962727,11,0,1,0,0,1,0,0,0,10,74.14,0,0,0.11,0.05,0.75,0.91,3,13.286,2,0,2,0.789,9,3,43.5,0.48,0.8,0.47,0.75,0.32,0,0.54,183458.546875,171940.21875,4.70581817626953,38985.4728769895,49.833,50.098,29.31,19.974,21.286,13.462,25.575,29.934,0.48,23.92,40.078,13.776,14.98,6.812,0,13.811,16.197
Russia,4,0,1,22102,31,0.43,1.491,24926,173.109530607333,3.273,2.414,20470,142.162885803262,10,29,3,0,7,62,0,16,0,11,47,1000,1,0.09,0.02,0.49,0.76,15,33.754,4,4,4,0.836,0,14,51,0.9,0.71,0.8,0.81,0.39,0.73,0.63,3395066.5,3251424.5,143.989761352539,23578.5271682453,40.616,52.211,52.407,16.539,4.098,65.184,35.171,38.032,0.71,36.554,37.07,41.926,13.397,1.598,47.584,22.158,28.612
Saudi Arabia,1,1,0,33,25,,0.1,1078,32.7279439415233,3.094,6.481,1715,52.0671835433326,1,0,1,2,0,0,0,0,0,1,58.52,18,0,0.21,0.1,0.68,0.93,7,22.646,0,0,4,0.881,0,2,41.9,0.62,0.58,0.04,0,0.22,0,0.34,1313926.625,1269705.125,32.9382133483887,39890.6464993274,37.419,44.398,28.458,7.858,5.945,0.024,14.574,19.811,0.257,23.2,25.751,1.138,0,1.308,0,4.955,8.05
Singapore,2,0,0,8,56,0.35,2,1575,275.887718948902,10,6.51,2784,487.664387018249,22,0,0,0,0,0,0,0,0,52,73.28,500,0,0.09,0.08,0.79,0.88,5,8.059,0,1,4,0.898,4,29,44.8,0.39,0.61,0.05,0.17,0.33,0,0.5,455808.78125,383281.03125,5.70884418487549,79842.5682132961,46.931,68.504,29.576,33.551,29.234,25.284,45.062,39.735,0.293,18.303,41.787,1.479,5.704,9.647,0,22.531,14.207
South Korea,1,0,1,749,64,0.59,0.72,162561,3188.58271170109,6.089,9.745,77962,1529.2000256497,19,0,1,0,0,1,0,0,3,36,62.9,1000,0,0.08,0.03,0.85,0.95,5,31.095,0,4,4,0.873,8,27,48.3,0.23,0.63,0.14,0.67,0.32,0.15,0.61,1923307.375,1848847.125,50.9822120666504,37725.067176089,47.74,59.586,34.423,23.885,41.57,34.799,40.642,40.378,0.393,10.98,37.539,4.819,16.003,13.302,5.22,24.792,16.094
Spain,1,0,0,95,92,0.69,2.016,1525,32.8987672064049,6.477,3.96,20543,443.173360472903,20,0,1,0,0,1,0,1,0,7,65.6,400,0,0.19,0.05,0.6,0.86,6,22.477,3,4,4,0.896,10,19,47.6,0.4,0.8,0.27,0.9,0.37,0.73,0.64,1725901.25,1654669.375,46.3543205261231,37232.802259012,43.913,50.746,23.996,14.596,13.554,39.093,29.974,30.839,0.587,17.565,40.597,6.479,13.136,5.015,28.538,19.183,18.645
