country,laws,web_alexa,news_alexa,removal_google,freedom_net,freedom_press,infocomm_imp,patent_application,patent_app_capita,broadband_speed,mobile_speed,ecommerce,ecommerce_capita,int_agreement,state_attack,attack_objective,attack_surveillance,attack_control,attack_intelligence,attack_commercial,attack_offense,tech_firm,tech_export,human_capital,cybermil_people,cyber_firm,computer_infection,mobile_infection,socials_use,internet_use,surveillance_firm,shodan,military_strategy,cyber_command,CERTS,ITU,muli_agreement,bilat_agreement,softpower,intent_surveillance,intent_defense,intent_control,intent_intelligence,intent_commercial,intent_offense,intent_norms,GDP_expentiture,GDP_output,pop,GDPexp_capita,score_surveillance,score_defense,score_control,score_intelligence,score_commercial,score_offense,score_norms,score_capabilities
Australia,2,0,0,101,72,0.87,0.827,2757,112.758146570877,2.2,7.66,2279,93.2084933025128,35,1,1,0,0,1,0,0,1,17,68.9,125,0,0.11,0.05,0.72,0.87,6,10.099,3,0,4,0.89,6,28,48.8,1,0.8,0.83,0.67,1,0.5,1,1177097.5,1158776.25,24.4505615234375,48141.9413976106,55.317,62.952,35.324,26.621,31.46,26.101,51.666,41.349
Brazil,2,0,0,993,64,0.65,1.289,4980,23.7949296426918,2.703,2.899,15717,75.0973713241339,9,0,0,0,0,0,0,0,0,13,59.73,7,0,0.22,0.08,0.66,0.67,3,11.567,2,4,4,0.577,1,10,39.4,0.2,0.8,0.42,0.17,0.67,0,0.5,2952830.75,2890897.5,209.288284301758,14108.9156512102,33.444,53.059,23.808,12.651,22.977,28.854,34.545,29.905
Canada,2,1,0,224,87,0.87,1.254,4349,118.746624609122,6.133,8.76,27731,757.176971035998,9,0,1,0,0,1,0,0,2,16,69.3,20,5,0.1,0.04,0.67,0.91,14,17.618,3,3,4,0.892,5,8,54.5,1,1,0.83,0.67,0.83,0.5,1,1629507.5,1571421.125,36.6241989135742,44492.6455277646,58.34,69.76,35.581,27.646,34.73,38.163,48.375,44.656
China,4,0,21,340,10,,7.077,1393815,988.859693800005,5.676,8.782,1001974,710.863136668472,15,19,5,19,4,99,33,1,3,31,60,10000,0,0.1,0.05,0.71,0.54,15,24.995,3,4,4,0.828,4,18,58.7,1,1,1,0.5,1,0.17,0.67,18396068,18383838,1409.51745605469,13051.3232886747,60.052,70.109,52.623,48.548,42.617,53.805,48.847,53.8
Egypt,2,0,0,0,26,0.57,1,997,10.2200693591602,1.567,1.929,5778,59.2292485027357,4,1,0,0,0,0,0,0,0,1,55.99,15,0,0.2,0.19,0.41,0.47,7,26.199,0,0,4,0.842,1,3,34.8,0.4,0.4,0.08,0,0,0,0.5,995959.6875,1092824.125,97.5531539916992,10209.4053010807,21.051,44.964,7.738,5.401,12.701,0.017,29.974,17.407
Estonia,1,0,0,11,94,0.71,0.148,24,18.3257594741812,3.209,5.208,388,296.266444832595,21,0,0,0,0,0,0,0,0,17,73.13,5000,0,0.13,0.02,0.69,0.89,1,10.423,3,2,4,0.905,20,24,31.7,1,0.8,0.33,0.17,0.58,0.5,1,40616.2421875,33971.1015625,1.3096319437027,31013.4785447173,54.462,60.52,27.594,25.356,30.26,39.869,53.927,41.713
France,4,1,0,1157,76,0.81,5.654,14303,212.758839933124,6.917,5.153,47085,700.395020502771,24,0,0,0,0,0,0,0,3,26,69.6,2600,0,0.15,0.04,0.58,0.8,46,23.964,4,3,4,0.918,8,30,58.5,0.6,1,0.83,0.67,0.67,0.5,1,2754603.25,2652826.25,67.2263488769531,40975.0536213391,55.476,66.342,31.576,36.68,30.938,48.411,58.638,46.866
Germany,3,1,0,527,80,0.86,10.29,46617,567.709172158074,4.802,4.467,82155,1000.49653642762,15,0,0,0,0,0,0,0,2,16,70,14000,1,0.09,0.04,0.46,0.84,43,17.668,4,3,4,0.849,12,10,61.9,1,0.8,1,0.5,0.5,0.5,1,4035178.5,3905024,82.1142272949219,49141.0396581732,57.512,58.261,31.855,41.963,26.311,57.915,47.506,45.903
India,1,8,2,2201,55,0.73,1.978,16289,12.1634118355264,1.824,1.215,40845,30.5000034638146,32,0,1,0,0,1,0,0,5,9,58.7,1887,0,0.12,0.29,0.23,0.34,10,11.81,0,2,4,0.719,5,78,41.6,0.8,0.6,0.04,0.17,0.83,0,0.67,8412113,8599774,1339.18017578125,6281.53937172237,22.41,50.1,6.048,15.301,25.876,13.001,47.733,25.781
Iran,1,1,0,0,15,0.44,0.129,11908,146.717482679585,0.512,2.72,3273,40.3263621775514,9,14,4,0,2,25,6,9,0,1,47.5,25,0,0.07,0.53,0.5,0.64,11,25.459,0,4,3,0.641,3,9,31.5,0.2,0.6,0.54,0.5,0.83,0.33,0.17,1297464.25,1295735,81.1627883911133,15985.9496663383,18.589,37.025,25.064,12.128,21.056,31.57,24.473,24.272
Israel,2,0,0,332,76,0.82,0.612,1506,180.975456345029,4.157,2.295,10000,1201.69625727111,14,0,2,0,0,2,0,4,0,23,72.9,5000,18,0.24,0.24,0.68,0.82,27,28.102,0,0,4,0.783,8,13,42.6,0.4,0.6,0.63,0.83,0.83,0.67,0.67,322245.28125,301121.9375,8.32157039642334,38724.0948401401,45.454,49.803,30.423,39.436,41.547,27.959,45.728,40.05
Italy,0,0,0,351,75,0.69,2.84,8921,150.28663770251,2.798,3.628,18186,306.368433276297,9,0,0,0,0,0,0,0,0,8,67.23,30,0,0.18,0.28,0.59,0.74,19,22.037,3,3,2,0.837,3,11,49.3,0.6,0.6,0.5,0.33,0.67,0,0.67,2342988.25,2255658.5,59.3599014282227,39470.8918584226,36.935,36.194,24.584,19.277,25.336,27.277,31.182,28.684
Japan,4,0,2,79,73,0.6,4.383,253630,1989.49752244842,5.098,4.278,99130,777.585023066323,16,0,0,0,0,0,0,0,13,17,62.6,150,1,0.09,0.02,0.61,0.85,4,11.899,0,4,4,0.88,5,30,60.2,0.6,1,0.79,0.5,1,0.17,1,5107477,5147025.5,127.484451293945,40063.5289100748,52.263,66.055,33.079,24.347,39.186,24.795,59.112,42.691
Lithuania,1,0,0,6,91,0.68,0.097,25,8.64963031594063,5.283,5.435,767,265.370658093058,19,0,0,0,0,0,0,0,0,12,70.81,300,0,0.13,0.02,0.6,0.8,3,11.854,2,0,4,0.908,7,13,0,0.5,0.6,0.17,0.08,0.42,0,0.33,89414.0703125,75125.015625,2.89029693603516,30935.9461298659,41.128,60.186,21.063,17.203,26.653,12.193,26.852,29.325
Malaysia,2,0,0,18,57,0.72,0.908,1116,35.2893590930206,4.048,2.298,4337,137.141532604328,19,0,0,0,0,0,0,0,0,53,68.29,300,0,0.22,0.15,0.78,0.81,5,22.38,0,1,4,0.893,5,20,37.4,0.6,0.8,0.13,0,0.83,0,0.67,822249.75,720269.25,31.6242637634277,26000.5973941724,45.685,52.516,24.853,26.215,36.213,21.168,50.917,36.795
Netherlands,1,0,0,43,99,0.93,4.999,2111,123.914513390339,5.712,8.633,15948,936.138635504087,14,0,1,0,0,1,0,0,2,23,73.07,260,0,0.08,0.04,0.64,0.95,6,10.172,3,4,4,0.885,10,7,48.9,1,1,0.67,0.83,1,0.67,1,852206.6875,793901.3125,17.0359382629395,50024.0535241853,56.032,66.192,32.905,33.197,36.31,47.674,44.674,45.283
New Zealand,1,0,0,12,97,0.89,0.204,1017,216.115447283646,5.613,6.416,3416,725.90989962727,11,0,1,0,0,1,0,0,0,10,74.14,0,0,0.11,0.05,0.75,0.91,3,13.286,2,0,2,0.789,9,3,43.5,1,0.8,0.96,0.67,0.83,0,0.67,183458.546875,171940.21875,4.70581817626953,38985.4728769895,57,55.55,38.813,26.692,35.224,11.218,39.081,37.654
Russia,4,0,1,22102,31,0.43,1.491,24926,173.109530607333,3.273,2.414,20470,142.162885803262,10,29,3,0,7,62,0,16,0,11,47,1000,1,0.09,0.02,0.49,0.76,15,33.754,4,4,4,0.836,0,14,51,0.8,0.7,0.75,0.67,0.83,0.5,0.5,3395066.5,3251424.5,143.989761352539,23578.5271682453,45.528,54.966,55.485,23.748,20.326,62.653,42.283,43.57
Saudi Arabia,1,1,0,33,25,,0.1,1078,32.7279439415233,3.094,6.481,1715,52.0671835433326,1,0,1,2,0,0,0,0,0,1,58.52,18,0,0.21,0.1,0.68,0.93,7,22.646,0,0,4,0.881,0,2,41.9,0.4,0.6,0.08,0,0.58,0,0.33,1313926.625,1269705.125,32.9382133483887,39890.6464993274,35.645,48.1,24.988,6.735,20.544,0.02,25.826,23.123
Singapore,2,0,0,8,56,0.35,2,1575,275.887718948902,10,6.51,2784,487.664387018249,22,0,0,0,0,0,0,0,0,52,73.28,500,0,0.09,0.08,0.79,0.88,5,8.059,0,1,4,0.898,4,29,44.8,0.8,0.6,0.13,0.33,0.83,0,0.5,455808.78125,383281.03125,5.70884418487549,79842.5682132961,50.941,66.776,26.69,33.472,39.981,21.07,49.133,41.152
South Korea,1,0,1,749,64,0.59,0.72,162561,3188.58271170109,6.089,9.745,77962,1529.2000256497,19,0,1,0,0,1,0,0,3,36,62.9,1000,0,0.08,0.03,0.85,0.95,5,31.095,0,4,4,0.873,8,27,48.3,0.4,0.6,0.33,0.5,0.67,0.17,0.5,1923307.375,1848847.125,50.9822120666504,37725.067176089,44.492,60.295,33.821,27.616,49.391,31.833,47.245,42.099
Spain,1,0,0,95,92,0.69,2.016,1525,32.8987672064049,6.477,3.96,20543,443.173360472903,20,0,1,0,0,1,0,1,0,7,65.6,400,0,0.19,0.05,0.6,0.86,6,22.477,3,4,4,0.896,10,19,47.6,0.8,0.8,0.5,0.83,0.83,0.5,0.83,1725901.25,1654669.375,46.3543205261231,37232.802259012,48.354,54.743,27.414,24.368,27.422,40.911,42.77,37.997
Sweden,1,0,0,5,100,0.93,2.216,1838,185.456108246602,6.821,5.65,11211,1131.2015394737,11,0,0,0,0,0,0,0,1,14,68.2,30,0,0.04,0.02,0.72,0.96,9,13.043,3,3,4,0.81,8,7,51.9,0.8,0.9,0.5,0.5,1,0.33,0.67,474642.53125,429885.375,9.91070079803467,47891.9241860398,55.02,65.024,32.425,23.092,36.54,34.7,39.675,40.925
Switzerland,1,0,0,23,96,0.94,2,1283,151.368487921838,7.515,6.169,7940,936.76211543211,4,0,0,0,0,0,0,0,2,13,72.7,500,0,0.07,0.03,0.51,0.9,10,10.189,0,4,4,0.788,4,2,54.5,1,0.8,0.33,0.33,1,0,1,533365.9375,544323.0625,8.4760046005249,62926.5747999912,51.844,65.957,23.685,23.633,37.017,21.07,42.085,37.899
Turkey,2,0,0,1880,37,0.39,0.087,7156,88.6246628804267,1.224,3.831,10657,131.983375114129,13,0,0,0,0,0,0,0,0,2,47.6,10,0,0.07,0.03,0.63,0.65,11,20.942,3,4,4,0.853,5,12,39.4,0.8,0.6,0.08,0.17,0.75,0,0.67,2151847,2201324.25,80.7450180053711,26649.9042684821,39.593,53.51,18.17,4.119,18.848,29.498,38.63,28.91
Ukraine,1,0,0,52,56,0.42,0.176,2107,47.6449486663251,2.627,2.578,3478,78.6469537073937,12,0,0,0,0,0,0,0,0,5,60.8,,0,0.09,0.02,0.59,0.59,4,22.18,3,3,4,0.661,5,8,31.7,0.6,0.6,0.42,0.67,0.5,0,0.5,424613.6875,420628.71875,44.2229461669922,9601.65986898742,32.398,55.442,19.744,21.305,21.224,31.538,31.474,30.446
United Kingdom,1,2,0,352,77,0.9,4.184,12865,194.389414647648,3.396,4.237,84885,1282.6074980463,33,0,3,0,0,2,0,1,1,23,66.6,14950,6,0.08,0.03,0.67,0.95,106,15.817,4,1,4,0.931,6,38,61.8,1,1,1,1,1,1,1,2788747.5,2589545.25,66.1815872192383,42137.8153225878,64.136,58.55,39.523,56.989,38.062,62.26,50.306,52.832
United States,2,35,20,966,77,0.85,11.297,285095,878.67676559422,6.72,4.99,419879,1294.0876608181,49,2,3,0,1,7,0,7,45,19,73.8,7000,114,0.09,0.08,0.75,0.87,132,96.118,4,4,4,0.926,9,69,67.1,1,1,1,0.83,0.83,0.83,1,18219510,17778680,324.45947265625,56153.4229555466,70.543,61.349,69.036,67.179,62.808,68.031,64.722,66.238
Vietnam,0,0,0,130,24,0.53,1.5,646,6.76150907741798,2.194,4.067,3385,35.4298888963775,10,1,3,1,2,1,0,0,0,41,47.6,5000,0,0.12,0.06,0.64,0.58,3,16.074,0,2,4,0.693,6,6,31.3,0.8,0.4,0.58,0.33,0.5,0,0.33,614762.625,558548.9375,95.5408020019531,6434.55583497648,28.883,45.426,27.178,21.159,21.686,26.728,33.188,29.178
