country,laws,web_alexa,news_alexa,removal_google,freedom_net,freedom_press,infocomm_imp,patent_application,patent_app_capita,broadband_speed,mobile_speed,ecommerce,ecommerce_capita,int_agreement,state_attack,attack_objective,attack_surveillance,attack_control,attack_intelligence,attack_commercial,attack_offense,tech_firm,tech_export,human_capital,cybermil_people,cyber_firm,computer_infection,mobile_infection,socials_use,internet_use,surveillance_firm,shodan,military_strategy,cyber_command,CERTS,ITU,muli_agreement,bilat_agreement,softpower,intent_norms,intent_surveillance,intent_defense,intent_control,intent_intelligence,intent_commercial,intent_offense,GDP_expentiture,GDP_output,pop,GDPexp_capita,score_surveillance,score_defense,score_control,score_intelligence,score_commercial,score_offense,score_norms,score_capabilities,capint_surveillance,capint_defense,capint_control,capint_intelligence,capint_commercial,capint_offense,capint_norms,score_capint
Australia,2,0,0,101,72,0.87,0.827,2757,112.758146570877,2.2,7.66,2279,93.2084933025128,35,1,1,0,0,1,0,0,1,17,68.9,125,0,0.11,0.05,0.72,0.87,6,10.099,3,0,4,0.89,6,28,48.8,98.33,98,98,96.67,60,98,96.67,1177097.5,1158776.25,24.4505615234375,48141.9413976106,53.7896460933081,54.3165517607367,50.2553163562155,46.6157165876922,47.3035475098491,42.4802146772537,53.6059118315754,49.7667006880901,52.713853171442,53.230220725522,48.5818143215535,27.9694299526153,46.3574765596521,41.0656235285011,52.710693103988,46.0898730518963
Brazil,2,0,0,993,64,0.65,1.289,4980,23.7949296426918,2.703,2.899,15717,75.0973713241339,9,0,0,0,0,0,0,0,0,13,59.73,7,0,0.22,0.08,0.66,0.67,3,11.567,2,4,4,0.577,1,10,39.4,73,50,66.25,42.86,33.33,66.25,33.33,2952830.75,2890897.5,209.288284301758,14108.9156512102,46.7517226901857,46.6901445889031,45.2616621488075,41.1435308120139,43.3177096454429,48.785010772354,43.5946849797496,45.077780805351,23.3758613450929,30.9322207901483,19.3991483969789,13.7131388196442,28.6979826401059,16.2600440904256,31.8241200352172,23.4575023025162
Canada,2,1,0,224,87,0.87,1.254,4349,118.746624609122,6.133,8.76,27731,757.176971035998,9,0,1,0,0,1,0,0,2,16,69.3,20,5,0.1,0.04,0.67,0.91,14,17.618,3,3,4,0.892,5,8,54.5,95,94,95,50,60,92.5,60,1629507.5,1571421.125,36.6241989135742,44492.6455277646,56.0436475135145,57.8358156808035,50.3892601484853,47.7245494875547,51.2105919806757,49.6183693335,50.6657264756561,51.9268515171699,52.6810286627036,54.9440248967634,25.1946300742426,28.6347296925328,47.369797582125,29.7710216001,48.1324401518733,40.9610960943344
China,4,0,21,340,10,,7.077,1393815,988.859693800005,5.676,8.782,1001974,710.863136668472,15,19,5,19,4,99,33,1,3,31,60,10000,0,0.1,0.05,0.71,0.54,15,24.995,3,4,4,0.828,4,18,58.7,96,96,96.67,95,93.33,96,66.67,18396068,18383838,1409.51745605469,13051.3232886747,63.8848542477597,57.9068188020165,65.375976206674,71.362170867514,60.6821447887144,67.04692403697,55.2603115980629,63.0741715068159,61.3294600778494,55.9785217359094,62.1071773963403,66.6023140706508,58.2548589971658,44.7001842554479,53.0498991341404,57.4317736667863
Egypt,2,0,0,0,26,0.57,1,997,10.2200693591602,1.567,1.929,5778,59.2292485027357,4,1,0,0,0,0,0,0,0,1,55.99,15,0,0.2,0.19,0.41,0.47,7,26.199,0,0,4,0.842,1,3,34.8,60,33.33,68.75,20,33.33,33.33,33.33,995959.6875,1092824.125,97.5531539916992,10209.4053010807,31.8492454458358,43.9136314791323,33.7664265832941,37.2605665335244,40.5286909222557,30.3628292154583,39.3051620376477,36.7123646024498,10.6153535070971,30.1906216419034,6.75328531665883,12.4189468256237,13.5082126843878,10.1199309775123,23.5830972225887,15.3127783108245
Estonia,1,0,0,11,94,0.71,0.148,24,18.3257594741812,3.209,5.208,388,296.266444832595,21,0,0,0,0,0,0,0,0,17,73.13,5000,0,0.13,0.02,0.69,0.89,1,10.423,3,2,4,0.905,20,24,31.7,99.17,99,99,33.33,50,50,98.75,40616.2421875,33971.1015625,1.3096319437027,31013.4785447173,52.6198613160378,52.4410618284933,49.814455179252,50.9949889098101,49.2988349340473,52.1173759976163,57.0138976684657,52.0429251191032,52.0936627028774,51.9166512102084,16.6031579112447,25.4974944549051,24.6494174670237,51.4659087976461,56.5406823178174,39.8238535516747
France,4,1,0,1157,76,0.81,5.654,14303,212.758839933124,6.917,5.153,47085,700.395020502771,24,0,0,0,0,0,0,0,3,26,69.6,2600,0,0.15,0.04,0.58,0.8,46,23.964,4,3,4,0.918,8,30,58.5,97.5,50,97.5,96.25,92.5,33.33,96.25,2754603.25,2652826.25,67.2263488769531,40975.0536213391,59.5010995984268,54.5990645400098,46.517165820981,56.0691767953492,49.3379985231885,57.4163540237601,60.3000609849947,54.82013146953,29.7505497992134,53.2340879265095,44.7727721026942,51.863988535698,16.4443549077787,55.2632407478691,58.7925594603698,44.3030790685904
Germany,3,1,0,527,80,0.86,10.29,46617,567.709172158074,4.802,4.467,82155,1000.49653642762,15,0,0,0,0,0,0,0,2,16,70,14000,1,0.09,0.04,0.46,0.84,43,17.668,4,3,4,0.849,12,10,61.9,96.67,96,96,95,33.33,60,95,4035178.5,3905024,82.1142272949219,49141.0396581732,54.4109076777671,50.2762474365989,43.7011994162364,62.0922967015,46.7464471394515,65.3280776748322,51.2514999612271,53.4009537153733,52.2344713706564,48.265197539135,41.5161394454246,20.69536249061,28.0478682836709,62.0616737910906,49.5448250125183,43.1950768475865
India,1,8,2,2201,55,0.73,1.978,16289,12.1634118355264,1.824,1.215,40845,30.5000034638146,32,0,1,0,0,1,0,0,5,9,58.7,1887,0,0.12,0.29,0.23,0.34,10,11.81,0,2,4,0.719,5,78,41.6,66.67,88,80,11.11,50,88,50,8412113,8599774,1339.18017578125,6281.53937172237,25.391951698788,46.0948287075404,33.4882390953525,44.1572231041873,45.6479289344136,39.4668468495632,55.3180546584258,41.3664390068958,22.3449174949335,36.8758629660323,3.72054336349366,22.0786115520937,40.1701774622839,19.7334234247816,36.8805470407725,25.9720119006273
Iran,1,1,0,0,15,0.44,0.129,11908,146.717482679585,0.512,2.72,3273,40.3263621775514,9,14,4,0,2,25,6,9,0,1,47.5,25,0,0.07,0.53,0.5,0.64,11,25.459,0,4,3,0.641,3,9,31.5,50,50,60,52.94,50,66.67,60,1297464.25,1295735,81.1627883911133,15985.9496663383,33.8774771268649,34.5426294543373,44.5258654752618,38.3226354120685,41.8522857393976,50.5533218980685,39.284275926856,40.4226415761221,16.9387385634325,20.7255776726024,23.5719931826036,19.1613177060342,27.9029189024564,30.3319931388411,19.642137963428,22.6106681613426
